Sample;X(ms) [22.03.2026 17:05:56 100 UTC];"Int_PT10[%MD98]";"Int_FC10[%MD102]";"Int_EV11_CO[%MD106]";"FT10_Int[%MD22]";"PT10_Int[%MD30]"
123;1774199168470,112096;50000;30000;0;0;713
124;1774199168570,119928;50000;30000;0;0;713
125;1774199168670,121952;50000;30000;0;0;713
126;1774199168770,110032;50000;30000;0;0;713
127;1774199168870,126128;50000;30000;0;0;713
128;1774199168970,389016;50000;30000;0;0;713
129;1774199169070,119016;50000;30000;39673;0;693
130;1774199169170,121408;50000;30000;79241;0;713
131;1774199169270,137352;50000;30000;100000;0;713
132;1774199169370,123144;50000;30000;100000;0;713
133;1774199169470,122592;50000;30000;100000;0;713
134;1774199169570,122224;50000;30000;100000;0;713
135;1774199169670,124048;50000;30000;100000;0;713
136;1774199169770,126264;50000;30000;100000;0;713
137;1774199169870,119528;50000;30000;100000;1701;713
138;1774199169970,126792;50000;30000;4573;1701;713
139;1774199170070,124928;50000;30000;100000;2572;713
140;1774199170170,110632;50000;30000;76685;3466;713
141;1774199170270,121032;50000;30000;90148;4372;713
142;1774199170370,121456;50000;30000;100000;4372;713
143;1774199170470,126584;50000;30000;100000;5252;713
144;1774199170570,124016;50000;30000;100000;6105;713
145;1774199170670,111392;50000;30000;100000;6913;772
146;1774199170770,116976;50000;30000;100000;7691;891
147;1774199170870,128120;50000;30000;100000;7691;990
148;1774199170970,127008;50000;30000;100000;8440;990
149;1774199171070,119168;50000;30000;100000;9178;1069
150;1774199171170,111080;50000;30000;100000;9893;1149
151;1774199171270,137216;50000;30000;100000;9893;1386
152;1774199171370,127776;50000;30000;100000;10579;1386
153;1774199171470,127000;50000;30000;100000;11259;1505
154;1774199171570,134696;50000;30000;100000;11944;1584
155;1774199171670,123904;50000;30000;100000;11944;1644
156;1774199171770,120088;50000;30000;100000;12613;1644
157;1774199171870,128400;50000;30000;100000;13261;1683
158;1774199171970,123576;50000;30000;100000;13877;1723
159;1774199172070,121336;50000;30000;100000;13877;1723
160;1774199172170,120416;50000;30000;100000;14476;1723
161;1774199172270,122560;50000;30000;100000;15064;1723
162;1774199172370,110936;50000;30000;100000;15605;1842
163;1774199172470,129016;50000;30000;100000;16152;2020
164;1774199172570,119176;50000;30000;100000;16152;2079
165;1774199172670,118408;50000;30000;100000;16693;2079
166;1774199172770,126424;50000;30000;100000;17216;2139
167;1774199172870,117880;50000;30000;100000;17726;2257
168;1774199172970,111424;50000;30000;100000;17726;2317
169;1774199173070,126600;50000;30000;100000;18220;2317
170;1774199173170,123104;50000;30000;100000;18704;2396
171;1774199173270,133432;50000;30000;100000;19190;2396
172;1774199173370,112264;50000;30000;100000;19190;2436
173;1774199173470,127432;50000;30000;100000;19647;2436
174;1774199173570,113248;50000;30000;100000;20095;2456
175;1774199173670,111864;50000;30000;100000;20527;2515
176;1774199173770,121928;50000;30000;100000;20527;2634
177;1774199173870,108192;50000;30000;100000;20938;2634
178;1774199173970,111432;50000;30000;100000;21372;2772
179;1774199174070,143416;50000;30000;100000;21780;2891
180;1774199174170,126880;50000;30000;100000;21780;2970
181;1774199174270,123024;50000;30000;100000;22176;2970
182;1774199174370,133344;50000;30000;100000;22555;3089
183;1774199174470,121456;50000;30000;100000;22931;3168
184;1774199174570,109736;50000;30000;100000;22931;3248
185;1774199174670,122648;50000;30000;100000;23296;3248
186;1774199174770,124904;50000;30000;100000;23649;3307
187;1774199174870,112736;50000;30000;100000;24002;3406
188;1774199174970,109728;50000;30000;100000;24337;3485
189;1774199175070,133496;50000;30000;100000;24337;3604
190;1774199175170,109912;50000;30000;100000;24664;3604
191;1774199175270,122808;50000;30000;100000;24974;3743
192;1774199175370,120000;50000;30000;100000;25260;3842
193;1774199175470,120696;50000;30000;100000;25260;3941
194;1774199175570,111168;50000;30000;100000;25524;3941
195;1774199175670,122792;50000;30000;100000;25775;4079
196;1774199175770,113232;50000;30000;100000;26021;4198
197;1774199175870,117360;50000;30000;100000;26021;4277
198;1774199175970,126352;50000;30000;100000;26291;4277
199;1774199176070,118368;50000;30000;100000;26568;4337
200;1774199176170,123736;50000;30000;98982;26837;4436
201;1774199176270,142568;50000;30000;97701;26837;4555
202;1774199176370,122520;50000;30000;100000;27086;4555
203;1774199176470,122400;50000;30000;97319;27309;4654
204;1774199176570,126856;50000;30000;97612;27517;4792
205;1774199176670,112640;50000;30000;97182;27517;4911
206;1774199176770,119488;50000;30000;100000;27714;5030
207;1774199176870,123264;50000;30000;96559;27917;5030
208;1774199176970,113040;50000;30000;94380;28122;5109
209;1774199177070,122832;50000;30000;92058;28328;5208
210;1774199177170,111976;50000;30000;89657;28328;5307
211;1774199177270,122984;50000;30000;100000;28536;5307
212;1774199177370,110344;50000;30000;86723;28738;5406
213;1774199177470,122520;50000;30000;84230;28924;5505
214;1774199177570,129080;50000;30000;82654;28924;5644
215;1774199177670,112384;50000;30000;96431;29091;5644
216;1774199177770,123408;50000;30000;82669;29262;5763
217;1774199177870,127720;50000;30000;79618;29433;5881
218;1774199177970,117656;50000;30000;76535;29433;6000
219;1774199178070,123520;50000;30000;88674;29604;6000
220;1774199178170,127560;50000;30000;73977;29777;6139
221;1774199178270,143368;50000;30000;70181;29945;6218
222;1774199178370,111128;50000;30000;66872;29945;6317
223;1774199178470,126344;50000;30000;78141;30104;6317
224;1774199178570,110960;50000;30000;63813;30252;6436
225;1774199178670,126848;50000;30000;60940;30396;6594
226;1774199178770,121912;50000;30000;57361;30396;6733
227;1774199178870,129192;50000;30000;66488;30547;6733
228;1774199178970,113288;50000;30000;52350;30697;6852
229;1774199179070,134640;50000;30000;48050;30836;6970
230;1774199179170,125944;50000;30000;44599;30981;7050
231;1774199179270,109760;50000;30000;39668;30981;7169
232;1774199179370,128512;50000;30000;48023;31114;7169
233;1774199179470,123152;50000;30000;34683;31256;7287
234;1774199179570,124352;50000;30000;29260;31400;7386
235;1774199179670,117144;50000;30000;23968;31400;7525
236;1774199179770,121904;50000;30000;31768;31545;7525
237;1774199179870,122416;50000;30000;16826;31681;7664
238;1774199179970,125520;50000;30000;12129;31803;7802
239;1774199180070,122872;50000;30000;7983;31803;7941
240;1774199180170,125096;50000;30000;13707;31924;7941
241;1774199180270,122520;50000;30000;327;32020;8060
242;1774199180370,132912;50000;30000;0;32086;8159
243;1774199180470,122480;50000;30000;0;32086;8297
244;1774199180570,120824;50000;30000;0;32138;8297
245;1774199180670,121120;50000;30000;0;32127;8416
246;1774199180770,111880;50000;30000;0;32023;8555
247;1774199180870,125184;50000;30000;4985;31751;8773
248;1774199180970,126192;50000;30000;19972;31751;8792
249;1774199181070,110472;50000;30000;0;31314;8792
250;1774199181170,116912;50000;30000;36732;30752;8911
251;1774199181270,125936;50000;30000;56640;30159;9010
252;1774199181370,110584;50000;30000;71869;30159;9109
253;1774199181470,123008;50000;30000;32088;29557;9109
254;1774199181570,121760;50000;30000;86334;28970;9188
255;1774199181670,119592;50000;30000;99918;28391;9268
256;1774199181770,117840;50000;30000;100000;28391;9347
257;1774199181870,128208;50000;30000;75851;27830;9347
258;1774199181970,125672;50000;30000;100000;27286;9426
259;1774199182070,120920;50000;30000;100000;26756;9505
260;1774199182170,112088;50000;30000;100000;26756;9565
261;1774199182270,125216;50000;30000;100000;26247;9565
262;1774199182370,110984;50000;30000;100000;25758;9624
263;1774199182470,121312;50000;30000;100000;25289;9703
264;1774199182570,119448;50000;30000;100000;25289;9763
265;1774199182670,118376;50000;30000;100000;24818;9842
266;1774199182770,121168;50000;30000;100000;24398;9842
267;1774199182870,120080;50000;30000;100000;24210;9901
268;1774199182970,112592;50000;30000;100000;24239;9980
269;1774199183070,126040;50000;30000;100000;24239;10020
270;1774199183170,124632;50000;30000;100000;24401;10020
271;1774199183270,123728;50000;30000;100000;24621;10099
272;1774199183370,111568;50000;30000;100000;24881;10178
273;1774199183470,127568;50000;30000;100000;24881;10297
274;1774199183570,111104;50000;30000;100000;25168;10297
275;1774199183670,111464;50000;30000;100000;25466;10297
276;1774199183770,125768;50000;30000;100000;25747;10396
277;1774199183870,122120;50000;30000;100000;25747;10515
278;1774199183970,155128;50000;30000;100000;26016;10515
279;1774199184070,118104;50000;30000;100000;26282;10614
280;1774199184170,122440;50000;30000;100000;26548;10693
281;1774199184270,122664;50000;30000;100000;26548;10773
282;1774199184370,123000;50000;30000;100000;26797;10773
283;1774199184470,121600;50000;30000;100000;27031;10852
284;1774199184570,122696;50000;30000;100000;27260;10971
285;1774199184670,110952;50000;30000;100000;27260;11109
286;1774199184770,121432;50000;30000;100000;27509;11109
287;1774199184870,125736;50000;30000;98703;27737;11208
288;1774199184970,111168;50000;30000;97914;27975;11307
289;1774199185070,123816;50000;30000;94686;28197;11406
290;1774199185170,118704;50000;30000;93033;28197;11525
291;1774199185270,120848;50000;30000;100000;28414;11525
292;1774199185370,133392;50000;30000;90643;28623;11624
293;1774199185470,122240;50000;30000;88366;28825;11743
294;1774199185570,122472;50000;30000;85758;28825;11862
295;1774199185670,133752;50000;30000;100000;29031;11862
296;1774199185770,122352;50000;30000;83788;29233;11981
297;1774199185870,125056;50000;30000;80448;29421;12099
298;1774199185970,129152;50000;30000;77956;29421;12218
299;1774199186070,126616;50000;30000;91268;29606;12218
300;1774199186170,119656;50000;30000;75277;29783;12337
301;1774199186270,133912;50000;30000;72180;29962;12456
302;1774199186370,118896;50000;30000;68009;29962;12575
303;1774199186470,117016;50000;30000;80027;30136;12575
304;1774199186570,127736;50000;30000;64368;30310;12693
305;1774199186670,125224;50000;30000;60061;30477;12832
306;1774199186770,120736;50000;30000;56048;30477;12951
307;1774199186870,140336;50000;30000;66613;30645;12951
308;1774199186970,112224;50000;30000;50797;30799;13070
309;1774199187070,122856;50000;30000;47263;30955;13208
310;1774199187170,122288;50000;30000;42300;31102;13307
311;1774199187270,117816;50000;30000;38109;31102;13446
312;1774199187370,119624;50000;30000;46496;31256;13446
313;1774199187470,136584;50000;30000;31162;31406;13585
314;1774199187570,112296;50000;30000;26118;31548;13723
315;1774199187670,122560;50000;30000;21468;31548;13862
316;1774199187770,122488;50000;30000;28879;31687;13862
317;1774199187870,126832;50000;30000;14266;31829;13981
318;1774199187970,111160;50000;30000;8472;31968;14119
319;1774199188070,135232;50000;30000;2946;31968;14258
320;1774199188170,119760;50000;30000;9610;32101;14258
321;1774199188270,118808;50000;30000;0;32205;14377
322;1774199188370,112384;50000;30000;0;32289;14535
323;1774199188470,134984;50000;30000;0;32289;14674
324;1774199188570,111816;50000;30000;0;32350;14674
325;1774199188670,123296;50000;30000;0;32370;14812
326;1774199188770,136224;50000;30000;0;32312;14931
327;1774199188870,123320;50000;30000;0;32312;15070
328;1774199188970,122424;50000;30000;0;32130;15070
329;1774199189070,134720;50000;30000;9235;31791;15208
330;1774199189170,120064;50000;30000;24891;31276;15327
331;1774199189270,123048;50000;30000;46541;30648;15446
332;1774199189370,437560;50000;30000;67308;30648;15486
333;1774199189470,112952;50000;30000;24564;29986;15486
334;1774199189570,120824;50000;30000;83662;29320;15684
335;1774199189670,128072;50000;30000;99695;28666;15763
336;1774199189770,112168;50000;30000;100000;28666;15862
337;1774199189870,123368;50000;30000;71742;28021;15862
338;1774199189970,133184;50000;30000;100000;27399;15961
339;1774199190070,135560;50000;30000;100000;26933;16060
340;1774199190170,112264;50000;30000;100000;26933;16139
341;1774199190270,122032;50000;30000;100000;26759;16139
342;1774199190370,134712;50000;30000;100000;26814;16218
343;1774199190470,133760;50000;30000;100000;26953;16278
344;1774199190570,124936;50000;30000;100000;26953;16357
345;1774199190670,122080;50000;30000;100000;27141;16357
346;1774199190770,123232;50000;30000;97208;27361;16436
347;1774199190870,123384;50000;30000;93636;27601;16555
348;1774199190970,120680;50000;30000;90065;27836;16654
349;1774199191070,134368;50000;30000;88051;27836;16654
350;1774199191170,111656;50000;30000;100000;28056;16773
351;1774199191270,135560;50000;30000;86650;28270;16832
352;1774199191370,111056;50000;30000;84517;28492;16911
353;1774199191470,122120;50000;30000;80929;28492;17010
354;1774199191570,125024;50000;30000;97785;28712;17010
355;1774199191670,124768;50000;30000;79880;28921;17149
356;1774199191770,112568;50000;30000;77403;29106;17268
357;1774199191870,400000;50000;30000;75972;29106;17387
358;1774199191970,110344;50000;30000;89507;29288;17387
359;1774199192070,120776;50000;30000;74195;29473;17486
360;1774199192170,120704;50000;30000;70541;29667;17604
361;1774199192270,135744;50000;30000;66050;29667;17664
362;1774199192370,112584;50000;30000;79423;29858;17664
363;1774199192470,129304;50000;30000;62583;30038;17802
364;1774199192570,127856;50000;30000;59278;30200;17941
365;1774199192670,117504;50000;30000;56535;30200;18060
366;1774199192770,121752;50000;30000;67080;30356;18060
367;1774199192870,134792;50000;30000;52678;30506;18159
368;1774199192970,117200;50000;30000;49017;30654;18278
369;1774199193070,109848;50000;30000;45033;30807;18397
370;1774199193170,390608;50000;30000;40136;30807;18397
371;1774199193270,124096;50000;30000;49300;30949;18535
372;1774199193370,123232;50000;30000;35404;31097;18634
373;1774199193470,127024;50000;30000;30255;31227;18793
374;1774199193570,110424;50000;30000;26868;31227;18931
375;1774199193670,111840;50000;30000;33932;31360;18931
376;1774199193770,133904;50000;30000;20267;31490;19050
377;1774199193870,123208;50000;30000;15567;31623;19169
378;1774199193970,119616;50000;30000;10240;31623;19288
379;1774199194070,134672;50000;30000;16973;31745;19288
380;1774199194170,110840;50000;30000;3831;31861;19406
381;1774199194270,124424;50000;30000;0;31962;19545
382;1774199194370,125080;50000;30000;0;31962;19704
383;1774199194470,122376;50000;30000;2013;32046;19704
384;1774199194570,120464;50000;30000;0;32089;19822
385;1774199194670,122544;50000;30000;0;32066;19961
386;1774199194770,122592;50000;30000;0;32066;20060
387;1774199194870,124080;50000;30000;0;31939;20060
388;1774199194970,128104;50000;30000;5731;31658;20258
389;1774199195070,122320;50000;30000;20071;31207;20377
390;1774199195170,127392;50000;30000;39997;31207;20496
391;1774199195270,113064;50000;30000;8290;30657;20496
392;1774199195370,121888;50000;30000;56439;30075;20595
393;1774199195470,120984;50000;30000;71520;29505;20694
394;1774199195570,119384;50000;30000;84198;28935;20793
395;1774199195670,111512;50000;30000;98403;28935;20872
396;1774199195770,112512;50000;30000;61784;28380;20872
397;1774199195870,123272;50000;30000;100000;27839;21010
398;1774199195970,125008;50000;30000;100000;27318;21109
399;1774199196070,121800;50000;30000;100000;27318;21208
400;1774199196170,118792;50000;30000;100000;26806;21208
401;1774199196270,136704;50000;30000;100000;26308;21288
402;1774199196370,118680;50000;30000;100000;25874;21347
403;1774199196470,124848;50000;30000;100000;25874;21446
404;1774199196570,126272;50000;30000;100000;25700;21446
405;1774199196670,111352;50000;30000;100000;25735;21525
406;1774199196770,110752;50000;30000;100000;25891;21624
407;1774199196870,127376;50000;30000;100000;25891;21684
408;1774199196970,113120;50000;30000;100000;26082;21684
409;1774199197070,133288;50000;30000;100000;26308;21783
410;1774199197170,124944;50000;30000;100000;26560;21882
411;1774199197270,110888;50000;30000;100000;26560;21961
412;1774199197370,120872;50000;30000;100000;26814;22040
413;1774199197470,127760;50000;30000;100000;27060;22040
414;1774199197570,106432;50000;30000;99114;27303;22179
415;1774199197670,122824;50000;30000;97416;27535;22238
416;1774199197770,121728;50000;30000;96250;27535;22377
417;1774199197870,123136;50000;30000;100000;27766;22377
418;1774199197970,119864;50000;30000;94007;28001;22476
419;1774199198070,128448;50000;30000;91196;28215;22575
420;1774199198170,119256;50000;30000;90100;28215;22674
421;1774199198270,122392;50000;30000;100000;28426;22674
422;1774199198370,118912;50000;30000;87633;28634;22793
423;1774199198470,112848;50000;30000;84954;28851;22912
424;1774199198570,119944;50000;30000;81022;28851;23030
425;1774199198670,123080;50000;30000;97018;29062;23030
426;1774199198770,121168;50000;30000;79424;29259;23129
427;1774199198870,117832;50000;30000;76951;29447;23268
428;1774199198970,119792;50000;30000;74039;29447;23387
429;1774199199070,128664;50000;30000;87317;29635;23387
430;1774199199170,121368;50000;30000;71029;29818;23525
431;1774199199270,111320;50000;30000;67564;29986;23644
432;1774199199370,119896;50000;30000;64781;29986;23783
433;1774199199470,126144;50000;30000;75996;30156;23783
434;1774199199570,121336;50000;30000;60568;30324;23902
435;1774199199670,128856;50000;30000;56565;30486;24040
436;1774199199770,110048;50000;30000;52671;30642;24139
437;1774199199870,133400;50000;30000;48700;30642;24278
438;1774199199970,123336;50000;30000;58274;30802;24278
439;1774199200070,121544;50000;30000;43025;30949;24417
440;1774199200170,110568;50000;30000;39229;31102;24575
441;1774199200270,137208;50000;30000;33943;31102;24674
442;1774199200370,121240;50000;30000;42716;31253;24674
443;1774199200470,123216;50000;30000;27644;31395;24793
444;1774199200570,108320;50000;30000;23197;31531;24951
445;1774199200670,113032;50000;30000;18506;31531;25090
446;1774199200770,119368;50000;30000;25555;31661;25090
447;1774199200870,109968;50000;30000;11750;31791;25228
448;1774199200970,111280;50000;30000;6458;31918;25367
449;1774199201070,125032;50000;30000;1257;31918;25486
450;1774199201170,119024;50000;30000;7214;32034;25486
451;1774199201270,126248;50000;30000;0;32098;25644
452;1774199201370,111160;50000;30000;0;32121;25763
453;1774199201470,124560;50000;30000;0;32121;25902
454;1774199201570,122416;50000;30000;0;32098;25902
455;1774199201670,119976;50000;30000;0;31968;26021
456;1774199201770,109512;50000;30000;6617;31675;26120
457;1774199201870,136992;50000;30000;21773;31227;26258
458;1774199201970,110888;50000;30000;40643;31227;26397
459;1774199202070,118864;50000;30000;9101;30683;26397
460;1774199202170,127936;50000;30000;56700;30095;26516
461;1774199202270,127520;50000;30000;72656;29499;26615
462;1774199202370,127752;50000;30000;87278;29499;26714
463;1774199202470,123952;50000;30000;48176;28912;26714
464;1774199202570,118544;50000;30000;100000;28336;26832
465;1774199202670,108904;50000;30000;100000;27784;26931
466;1774199202770,120760;50000;30000;100000;27784;27030
467;1774199202870,121928;50000;30000;89626;27254;27030
468;1774199202970,111400;50000;30000;100000;26742;27110
469;1774199203070,137968;50000;30000;100000;26383;27209
470;1774199203170,112192;50000;30000;100000;26383;27268
471;1774199203270,122640;50000;30000;100000;26282;27268
472;1774199203370,125048;50000;30000;100000;26369;27367
473;1774199203470,120776;50000;30000;100000;26525;27446
474;1774199203570,108088;50000;30000;100000;26525;27545
475;1774199203670,123824;50000;30000;100000;26716;27545
476;1774199203770,121864;50000;30000;100000;26927;27625
477;1774199203870,123024;50000;30000;98825;27153;27743
478;1774199203970,126488;50000;30000;96558;27393;27842
479;1774199204070,121344;50000;30000;93648;27393;27922
480;1774199204170,123432;50000;30000;100000;27616;27922
481;1774199204270,123928;50000;30000;92957;27844;28021
482;1774199204370,125952;50000;30000;90288;28073;28139
483;1774199204470,111688;50000;30000;87705;28073;28219
484;1774199204570,121080;50000;30000;100000;28299;28219
485;1774199204670,133320;50000;30000;85080;28501;28337
486;1774199204770,109576;50000;30000;84059;28698;28436
487;1774199204870,122560;50000;30000;81749;28698;28535
488;1774199204970,133600;50000;30000;96597;28889;28535
489;1774199205070,116944;50000;30000;81039;29094;28654
490;1774199205170,122032;50000;30000;76659;29300;28753
491;1774199205270,139040;50000;30000;72973;29300;28892
492;1774199205370,109016;50000;30000;87603;29491;28892
493;1774199205470,111376;50000;30000;71250;29673;29011
494;1774199205570,121144;50000;30000;68168;29838;29130
495;1774199205670,123888;50000;30000;65838;29838;29347
496;1774199205770,121568;50000;30000;77055;30009;29367
497;1774199205870,135160;50000;30000;61823;30177;29367
498;1774199205970,119440;50000;30000;58015;30336;29506
499;1774199206070,121920;50000;30000;54577;30492;29644
500;1774199206170,125024;50000;30000;50612;30492;29783
501;1774199206270,125056;50000;30000;60385;30645;29783
502;1774199206370,111864;50000;30000;45859;30790;29902
503;1774199206470,133056;50000;30000;42146;30935;30040
504;1774199206570,123904;50000;30000;37663;30935;30159
505;1774199206670,117512;50000;30000;46078;31079;30159
506;1774199206770,122344;50000;30000;31752;31212;30298
507;1774199206870,133072;50000;30000;27933;31345;30417
